movie_names,production_company,movie_imdb_id
Blue Bayou,Focus Features / Entertainment One,tt3480822
Prisoners of the Ghostland,RLJE Films,tt6372694
Best Sellers,Screen Media Films,tt10339052
Lady of the Manor,Lionsgate,tt11826450
The Nowhere Inn,IFC Films / Topic Studios,tt10441822
My Name is Pauli Murray,Amazon Studios / Participant,tt11092594
The Killing of Kenneth Chamberlain,Gravitas Ventures,tt8906722
Intrusion,Netflix,tt5563324
My Little Pony: A New Generation,Netflix / Entertainment One / Boulder Media,tt10101702
Dear Evan Hansen,Universal Pictures / Perfect World Pictures,tt9357050
The Guilty,Netflix / Bold Films / Nine Stories Productions,tt9421570
Birds of Paradise,Amazon Studios,tt11771006
After We Fell,Voltage Pictures,tt13069986
Venom: Let There Be Carnage,Columbia Pictures / Marvel Entertainment / Tencent Pictures,tt7097896
The Many Saints of Newark,Warner Bros. Pictures / New Line Cinema / HBO Films / HBO Max,tt8110232
The Addams Family 2,Metro-Goldwyn-Mayer / Bron Creative,tt11125620
Bingo Hell,Amazon Studios / Blumhouse Television,tt13372992
Black as Night,Amazon Studios / Blumhouse Television,tt13372884
Old Henry,Shout! Studios,tt12731980
The Jesus Music,Lionsgate,tt14857602
Mayday,Magnolia Pictures,tt0386950
God's Not Dead: We the People,Pinnacle Peak Pictures,tt14578032
There's Someone Inside Your House,Netflix / 21 Laps Entertainment,tt8150814
No Time to Die,Metro-Goldwyn-Mayer / Eon Productions,tt2382320
Mass,Bleecker Street,tt11389748
South of Heaven,RLJE Films,tt11284502
The Manor,Amazon Studios / Blumhouse Television,tt13372794
Madres,Amazon Studios / Blumhouse Television,tt13372944
Justin Bieber: Our World,Amazon Studios,tt15385930
Halloween Kills,Universal Pictures / Miramax / Blumhouse Productions / Peacock,tt10665338
The Last Duel,20th Century Studios / Scott Free Productions / Pearl Street Films,tt4244994
Needle in a Timestack,Lionsgate / Bron Studios,tt7099280
Hard Luck Love Song,Roadside Attractions,tt8709338
"Introducing, Selma Blair",Discovery+ / LD Entertainment,tt14030526
The Velvet Underground,Apple TV+ / PolyGram Entertainment,tt7230750
Night Teeth,Netflix,tt10763820
Dune,Warner Bros. Pictures / Legendary Entertainment / HBO Max,tt1160419
Ron's Gone Wrong,20th Century Studios / Locksmith Animation / TSG Entertainment,tt7504818
The French Dispatch,Searchlight Pictures / Indian Paintbrush,tt8847712
The Harder They Fall,Netflix,tt10696784
The Electrical Life of Louis Wain,Amazon Studios / StudioCanal / Film4,tt10687506
Warning,Lionsgate,tt8956324
Passing,Netflix / Film4 / Gamechanger Films / Endeavor Content,tt8893974
Hypnotic,Netflix,tt12383460
Antlers,Searchlight Pictures / TSG Entertainment,tt7740510
Army of Thieves,Netflix / The Stone Quarry,tt13024674
A Mouthful of Air,Stage 6 Films,tt10925852
The Souvenir Part II,A24 / BBC Film,tt6992978
Paranormal Activity: Next of Kin,Paramount+ / Paramount Players / Blumhouse Productions,tt10515988
The Spine of Night,RLJE Films / Shudder,tt3885422
Violet,Relativity Media,tt2357547
Heart of Champions,Vertical Entertainment,tt10314548
Eternals,Marvel Studios,tt9032400
Red Notice,Netflix / Flynn Picture Company / Seven Bucks Productions,tt7991608
Finch,Apple TV+ / Amblin Entertainment / Walden Media / ImageMovers,tt3420504
Spencer,Neon / Topic Studios / FilmNation Entertainment,tt12536294
Dangerous,Lionsgate,tt3876910
Love Hard,Netflix,tt10752004
The Beta Test,IFC Films,tt11738830
Clifford the Big Red Dog,Paramount Pictures / Entertainment One / Paramount+,tt2397461
"Tick, Tick... Boom!",Netflix / Imagine Entertainment,tt8721424
Home Sweet Home Alone,Disney+ / 20th Century Studios,tt11012066
Apex,RLJE Films,tt13265876
The Power of the Dog,Netflix / BBC Film / See-Saw Films,tt10293406
Bruised,Netflix / Thunder Road Films,tt8310474
The Princess Switch 3: Romancing the Star,Netflix,tt14731142
Ghostbusters: Afterlife,Columbia Pictures / Bron Creative / Ghost Corps,tt4513678
King Richard,Warner Bros. Pictures / Westbrook Studios / HBO Max,tt9620288
Extinct,Netflix / Tencent Pictures,tt8241000
C'mon C'mon,A24,tt10986222
Black Friday,Screen Media Films,tt11649338
Zeros and Ones,Lionsgate,tt13432484
Friend of the World,Charybdis Pictures,tt6074542
Encanto,Walt Disney Pictures / Walt Disney Animation Studios,tt2953050
House of Gucci,Metro-Goldwyn-Mayer / Bron Creative / Scott Free Productions,tt11214590
The Unforgivable,Netflix / Fortis Films / GK Films,tt11233960
Resident Evil: Welcome to Raccoon City,Screen Gems / Constantin Film / Davis Films,tt6920084
8-Bit Christmas,HBO Max / Warner Bros. Pictures / New Line Cinema,tt11540284
The Humans,A24 / Showtime / IAC Films,tt10023286
Licorice Pizza,Metro-Goldwyn-Mayer / Focus Features / Bron Creative,tt11271038
Single All the Way,Netflix / Muse Entertainment,tt14315756
Diary of a Wimpy Kid,Disney+ / Walt Disney Pictures / Bardel Entertainment,tt1196141
Back to the Outback,Netflix / Netflix Animation,tt13575806
Encounter,Amazon Studios / Film4 / Raw,tt12800524
Mixtape,Netflix,tt1587420
Flee,Neon / Participant / Vice Studios,tt8430054
West Side Story,20th Century Studios / Amblin Entertainment / TSG Entertainment,tt3581652
Don't Look Up,Netflix / Hyperobject Industries,tt11286314
National Champions,STXfilms / Thunder Road Films,tt14547524
Being the Ricardos,Amazon Studios / Escape Artists,tt4995540
Red Rocket,A24 / FilmNation Entertainment,tt13453006
The Hating Game,Vertical Entertainment,tt8718158
Rumble,Paramount+ / Paramount Animation / WWE Studios / Walden Media,tt8337158
Spider-Man: No Way Home,Columbia Pictures / Marvel Studios,tt10872600
Nightmare Alley,Searchlight Pictures / TSG Entertainment,tt7740496
The Lost Daughter,Netflix / Endeavor Content,tt9100054
Cyrano,Metro-Goldwyn-Mayer / Bron Creative / Working Title Films,tt12889404
Swan Song,Apple TV+ / Apple Studios,tt13207508
The Tender Bar,Amazon Studios,tt3108894
Mother/Android,Hulu / Miramax,tt13029044
The Matrix Resurrections,Warner Bros. Pictures / Village Roadshow Pictures / HBO Max,tt10838180
Sing 2,Universal Pictures / Illumination,tt6467266
The King's Man,20th Century Studios / Marv Studios / TSG Entertainment,tt6856242
The Tragedy of Macbeth,Apple TV+ / A24 / IAC Films,tt10095582
A Journal for Jordan,Columbia Pictures / Escape Artists / Bron Studios,tt0995854
American Underdog,Lionsgate,tt11729298
Memoria,Neon,tt8399288
