channel_id.channel_id.i.,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
UCE5mQnNl8Q4H2qcv4ikaXeA,487122727,2000000,FALSE,1696
UC1Myj674wRVXB9I4c6Hm5zA,629337692,1030000,FALSE,536
UC1Myj674wRVXB9I4c6Hm5zA,629337692,1030000,FALSE,536
UCOn923UnbV8H9zo_lO6ZCRw,253281071,343000,FALSE,1006
UCCEfOHkckMXnoZQAjUZsMig,11915168,34400,FALSE,152
UCyouSlyNTfwX_pnGvlfIL3Q,187252692,98500,FALSE,412
UCF9imwPMSGz4Vq1NiTWCC7g,1637623924,2320000,FALSE,1391
UC_976xMxPgzIa290Hqtk-9g,3241117971,5240000,FALSE,478
UCIrgJInjLS2BhlHOMDW7v0g,99221039,824000,FALSE,496
UCU4SM3j_9TNWaSu8KdGV50g,601406273,480000,FALSE,1108
UCkaUErzjD9UUM8D-loIm5vA,40039903,20700,FALSE,199
UCcwLgHQvgkUimERhaLOESQQ,65133,2100,FALSE,40
UCq0OueAsdxH6b8nyAspwViw,3560436138,5690000,FALSE,1203
UCpR3kmSyTYszJHWEcmpcnFQ,61470948,52800,FALSE,332
UC9S7BBUoWErI-50YI2ASoiw,103985413,123000,FALSE,220
UCAVadSTSh382kte-fQHqMNw,212693506,345000,FALSE,312
UC-ZrPpPr79psf_4Y6AbIxSA,42985049,8130,FALSE,25
UCLF1VMXwqk47ND9-cIFf_Pw,74211,202,FALSE,15
UC_rO4C_n-VER2E9425WnAAQ,1164956,9250,FALSE,210
UC82a54ONoesmTcQInXvFl9A,34874,346,FALSE,35
UC7RwLghHbL3qZfQZ9ptIQgg,442237,4080,FALSE,20
UCnLuLSV-Oi0ctqjxGgxFlmg,285166855,764000,FALSE,479
UCF9imwPMSGz4Vq1NiTWCC7g,1637623924,2320000,FALSE,1391
UChHWguT73YHTBfptyj41a1Q,35725542,37700,FALSE,306
UClt5Bst8Ji05dZvTUdnO85g,247674082,93200,FALSE,428
UCfnXpb2MPBULONuZCyaKgmA,78327702,10200,FALSE,37
UCvE8nyjdQG0_rgx9u3oqadw,172847019,249000,FALSE,704
UC7QRIwDb8shSnZE8XB0lx4A,93566291,55100,FALSE,912
UCXrZ0ljCjQQ9GL6OC0fwQ5A,68996904,99000,FALSE,235
UCmLpWGO9eyDugKPxLSYW3kQ,454623028,303000,FALSE,1860
UC8jsAprgDehadRVbqKgO2PQ,3278255,10600,FALSE,84
UCWlg4HEhGy8t3QNqdj0O_SA,14692708,5090,FALSE,720
UCnmDn3QFyDe4WJ44CsiSiiw,34605392,78000,FALSE,454
UCpR3kmSyTYszJHWEcmpcnFQ,61470948,52800,FALSE,332
UCF9imwPMSGz4Vq1NiTWCC7g,1637623924,2320000,FALSE,1391
UCnLuLSV-Oi0ctqjxGgxFlmg,285166855,764000,FALSE,479
UCTqxhLx9x4_nsYXj6rrQ8rA,805269,3430,FALSE,116
UCO7rKYuE7EMHYFcwP-obqhg,20575930,91500,FALSE,686
UCqOH_Go7R0J0ZaOFBCHuTTw,9705,379,FALSE,6
UCq0OueAsdxH6b8nyAspwViw,3560436138,5690000,FALSE,1203
UCruD_lL-5fmllpKMSL-yCyQ,119438003,96300,FALSE,455
UCY0vSwi_U-ixmy6nrErmx7A,1105643,756,FALSE,114
UCuPivVjnfNo4mb3Oog_frZg,662085461,661000,FALSE,552
UChHWguT73YHTBfptyj41a1Q,35725542,37700,FALSE,306
UCKU6iJRsW9hrZkJhMh9ZgMw,19537195,30600,FALSE,215
UCravBlrXZFH19MJYdtHijSA,13323172,8990,FALSE,427
UCvC4D8onUfXzvjTOM-dBfEA,4474605891,18000000,FALSE,7692
UC3fm3F9kyexFVL_OPoSXkgQ,2096902,1790,FALSE,61
UCCKPoUe4nvn6H-HaoY2UM0g,211268249,90300,FALSE,696
UCU4BHh9Dwfd7-I_xTZ5037Q,98943637,456000,FALSE,1177
UCuPivVjnfNo4mb3Oog_frZg,662085461,661000,FALSE,552
UCBdw4dLCLLHmTgAOnW4V0hQ,324183231,5890000,FALSE,232
UCwNIswYZihchq9vTwQdiFyw,17,10,FALSE,1
UClpp6NmLid7CvUkI-h17n5Q,23848348,47400,FALSE,323
UCneoi6WTgRjMh4otvpwzv8w,425923503,558000,FALSE,1501
UCx6YxBCmq2-wHBN4LmFLw0g,1253808179,2110000,FALSE,63
UCmLpWGO9eyDugKPxLSYW3kQ,454623028,303000,FALSE,1860
UCbPUwMmAiA5lNMbxNpu2Umg,10423,1030,FALSE,7
UCGVrjz7s7ui-c4BHZ155Ylg,193191311,143000,FALSE,946
UCLFmfzQaJE_YlgXtnkr3e_Q,6583117,8960,FALSE,79
UCrRttZIypNTA1Mrfwo745Sg,358699275,391000,FALSE,583
