"movie_imdb_id","movie_names","production_company","id","id_str","name","screen_name","verified","hashtag_movie","movie_release_dates_list","toDate","fromDate"
"tt10533804","Let Us In","Samuel Goldwyn Films",NA,NA,NA,NA,NA,"#LetUsIn",2021-07-02,"202107020000","202106020000"
"tt10633456","Minari","A24 / Plan B Entertainment",1215725544492425216,"1215725544492425216","Minari","MinariMovie",TRUE,"#Minari",2021-02-12,"202102120000","202101130000"
"tt10661710","Born a Champion","Lionsgate",NA,NA,NA,NA,NA,"#BornaChampion",2021-01-22,"202101220000","202012230000"
"tt10665338","Halloween Kills","Universal Pictures / Miramax / Blumhouse Productions / Peacock",908089040116649984,"908089040116649985","#HalloweenKills","halloweenmovie",TRUE,"#HalloweenKills",2021-10-15,"202110150000","202109150000"
"tt10676012","To All the Boys: Always and Forever","Netflix",1164599393221316608,"1164599393221316608","To All The Boys: Always and Forever","toalltheboys",TRUE,"#ToAlltheBoys:AlwaysandForever",2021-02-12,"202102120000","202101130000"
"tt10687506","The Electrical Life of Louis Wain","Amazon Studios / StudioCanal / Film4",NA,NA,NA,NA,NA,"#TheElectricalLifeofLouisWain",2021-11-05,"202111050000","202110060000"
"tt10696784","The Harder They Fall","Netflix",18096913,"18096913","THE BULLITTS","TheBullitts",TRUE,"#TheHarderTheyFall",2021-11-03,"202111030000","202110040000"
"tt10696896","Stillwater","Focus Features / DreamWorks Pictures / Participant",1230325949909979136,"1230325949909979138","Stillwater","StillwaterMovie",TRUE,"#Stillwater",2021-07-30,"202107300000","202106300000"
"tt10702148","The Killing of Two Lovers","Neon",NA,NA,NA,NA,NA,"#TheKillingofTwoLovers",2021-05-14,"202105140000","202104140000"
"tt10719958","The Birthday Cake","Screen Media Films",NA,NA,NA,NA,NA,"#TheBirthdayCake",2021-06-18,"202106180000","202105190000"
"tt10731768","Sweet Girl","Netflix",159375672,"159375672","Sweet Muslim Girl","darksheikftf",TRUE,"#SweetGirl",2021-08-20,"202108200000","202107210000"
"tt10741846","Rita Moreno: Just a Girl Who Decided to Go for It","Roadside Attractions",NA,NA,NA,NA,NA,"#RitaMoreno:JustaGirlWhoDecidedtoGoforIt",2021-06-18,"202106180000","202105190000"
"tt10752004","Love Hard","Netflix",1154313682215563264,"1154313682215563264","<U+6620><U+753B><U+300E><U+30F2><U+30BF><U+30AF><U+306B><U+604B><U+306F><U+96E3><U+3057><U+3044><U+300F><U+516C><U+5F0F><U+30A2><U+30AB><U+30A6><U+30F3><U+30C8>","wotakoi_movie",TRUE,"#LoveHard",2021-11-05,"202111050000","202110060000"
"tt10763820","Night Teeth","Netflix",NA,NA,NA,NA,NA,"#NightTeeth",2021-10-20,"202110200000","202109200000"
"tt10793644","The Vigil","IFC Midnight / Blumhouse Productions",NA,NA,NA,NA,NA,"#TheVigil",2021-02-26,"202102260000","202101270000"
"tt10837932","A Crime on the Bayou","Shout! Studios",NA,NA,NA,NA,NA,"#ACrimeontheBayou",2021-06-18,"202106180000","202105190000"
"tt10838180","The Matrix Resurrections","Warner Bros. Pictures / Village Roadshow Pictures / HBO Max",1220814753016102912,"1220814753016102914","The Matrix Resurrections – <U+0001F6AB> Spoilers!","TheMatrixMovie",TRUE,"#TheMatrixResurrections",2021-12-22,"202112220000","202111220000"
"tt10872600","Spider-Man: No Way Home","Columbia Pictures / Marvel Studios",281217033,"281217033","Spider-Man: No Way Home","SpiderManMovie",TRUE,"#Spider-Man:NoWayHome",2021-12-17,"202112170000","202111170000"
"tt10896398","Boogie","Focus Features",1163851032922714112,"1163851032922714114","Boogie","boogiemovie",TRUE,"#Boogie",2021-03-05,"202103050000","202102030000"
"tt10925852","A Mouthful of Air","Stage 6 Films",NA,NA,NA,NA,NA,"#AMouthfulofAir",2021-10-29,"202110290000","202109290000"
"tt10926320","Dating and New York","IFC Films",NA,NA,NA,NA,NA,"#DatingandNewYork",2021-06-13,"202106130000","202105140000"
"tt10944596","Here Today","Stage 6 Films",1073676020,"1073676020","IndiaTodayFLASH","IndiaTodayFLASH",TRUE,"#HereToday",2021-05-07,"202105070000","202104070000"
"tt10954652","Old","Universal Pictures / Perfect World Pictures / Blinding Edge Pictures",1306656438404689920,"1306656438404689922","Old","oldthemovie",TRUE,"#Old",2021-07-23,"202107230000","202106230000"
"tt10962368","Things Heard & Seen","Netflix / Likely Story",NA,NA,NA,NA,NA,"#ThingsHeard&Seen",2021-04-29,"202104290000","202103300000"
"tt10986222","C'mon C'mon","A24",3369417533,"3369417533","C'est Mon Choix","CestMonChoixOff",TRUE,"#C'monC'mon",2021-09-02,"202109020000","202108030000"
"tt11003218","Pig","Neon / Endeavour Content",440741351,"440741351","Peppa Pig Official","peppapig",TRUE,"#Pig",2021-07-16,"202107160000","202106160000"
"tt11012066","Home Sweet Home Alone","Disney+ / 20th Century Studios",NA,NA,NA,NA,NA,"#HomeSweetHomeAlone",2021-11-12,"202111120000","202110130000"
"tt11020728","Long Weekend","Stage 6 Films",NA,NA,NA,NA,NA,"#LongWeekend",2021-03-12,"202103120000","202102100000"
"tt11080108","The Map of Tiny Perfect Things","Amazon Studios",1348710711082455040,"1348710711082455040","The Map of Tiny Perfect Things","tinyperfmovie",TRUE,"#TheMapofTinyPerfectThings",2021-02-12,"202102120000","202101130000"
"tt11083552","Wrath of Man","Metro-Goldwyn-Mayer / Miramax",1224750798644613120,"1224750798644613121","Wrath of Man","WrathFilm",TRUE,"#WrathofMan",2021-05-07,"202105070000","202104070000"
"tt11084896","Spirit Untamed","Universal Pictures / DreamWorks Animation",NA,NA,NA,NA,NA,"#SpiritUntamed",2021-06-04,"202106040000","202105050000"
