"movie_id","revenue","total_runtime_in_minute","meta_crtics_count","meta_score","release_date"
"tt11197962",0,NA,0,NA,1571702400
"tt11156494",0,NA,1,NA,NA
"tt5028340",23523121,130,308,66,1545177600
"tt11850648",0,NA,0,NA,NA
"tt11570438",0,NA,1,NA,NA
"tt9495224",0,90,101,NA,1545955200
"tt4674622",0,NA,8,NA,1502150400
"tt5198966",0,NA,1,NA,NA
"tt8818842",0,90,21,NA,NA
"tt7343740",0,86,42,57,1613692800
"tt10130054",0,NA,0,NA,NA
"tt6285944",0,NA,48,59,1584662400
"tt9016974",245561,102,175,64,1603411200
"tt1780967",47180,102,115,54,NA
"tt2499472",0,86,44,37,1562889600
"tt12604726",0,NA,0,NA,NA
"tt4765240",0,83,9,NA,NA
"tt1590193",13701452,104,290,56,1515715200
"tt4899370",3810867,116,75,66,1496966400
"tt10384504",0,NA,2,NA,NA
"tt8972256",24163,104,74,52,NA
"tt5607096",60886,97,139,67,1534464000
"tt3296908",0,NA,44,NA,NA
"tt6100382",0,NA,1,NA,NA
"tt11225538",0,NA,0,NA,NA
"tt7334158",0,121,6,NA,NA
"tt10910516",0,NA,1,NA,NA
"tt9409270",0,NA,1,NA,NA
"tt9204204",10626,105,150,60,1575590400
"tt9383918",0,NA,0,NA,NA
"tt6927880",0,93,6,65,1539302400
"tt7932500",0,NA,2,NA,NA
"tt2597892",0,85,66,NA,NA
"tt1741273",6652996,111,173,45,1447977600
"tt13161082",0,NA,0,NA,NA
"tt11120862",0,NA,0,NA,NA
"tt7606636",0,84,19,NA,NA
"tt9425230",0,NA,0,NA,NA
"tt10295550",0,NA,0,NA,NA
"tt7962822",0,115,2,NA,NA
"tt4240848",0,113,0,NA,NA
"tt4912910",61236534,147,472,86,1532649600
"tt3525168",0,90,36,38,1543536000
"tt5941352",0,121,4,NA,NA
"tt10204512",0,87,9,NA,1618272000
"tt6450804",29033832,128,395,54,NA
"tt1206885",18872919,89,262,26,NA
"tt7984766",0,140,132,62,1572566400
"tt4532826",9195670,116,184,32,NA
"tt6289444",0,NA,0,NA,NA
"tt12772074",0,NA,0,NA,NA
"tt10619332",0,89,3,NA,NA
"tt8579674",576216,119,513,78,1578614400
"tt9037168",0,NA,0,NA,NA
"tt4653202",0,89,5,NA,NA
"tt9689696",0,94,34,54,1607040000
"tt4139588",0,118,110,19,1548374400
"tt6749318",0,102,21,19,NA
"tt6824658",0,NA,7,NA,NA
"tt1648190",19153698,95,357,34,1501804800
"tt1838556",0,99,129,46,1602806400
"tt9207700",33998,94,73,44,1596758400
"tt2527338",177383864,141,519,53,NA
"tt6012380",23564,92,42,70,1581638400
"tt2283336",30035838,114,276,38,1560470400
"tt3279034",0,NA,0,NA,NA
"tt3005242",2661253,102,31,44,NA
"tt2633044",0,125,0,NA,NA
"tt1565995",0,105,3,NA,NA
"tt2219958",0,102,0,NA,NA
"tt11833782",0,NA,0,NA,NA
"tt5613124",0,NA,1,NA,1635897600
"tt6071092",4381,104,4,28,NA
"tt6850820",13423255,101,174,29,1536278400
"tt5466186",1592645,107,142,49,1521158400
"tt10761996",0,NA,1,NA,NA
"tt8465850",0,NA,0,NA,1588464000
"tt9108322",0,NA,1,NA,NA
"tt8232176",0,NA,0,NA,1546214400
"tt6266538",7768371,132,336,61,1545696000
"tt12497216",0,NA,2,NA,NA
"tt12099962",0,76,2,NA,1588896000
"tt5050332",0,62,0,NA,NA
"tt6341668",0,88,8,NA,NA
"tt5611404",0,97,1,NA,NA
"tt8322502",0,107,5,NA,NA
"tt5792656",0,100,39,42,1568937600
"tt7631568",0,87,29,NA,NA
"tt4192652",0,100,7,42,1576800000
"tt8456696",0,87,8,52,NA
"tt13715672",0,91,0,NA,NA
"tt6201302",0,86,5,NA,1570147200
"tt10648804",0,NA,0,NA,1560556800
"tt9344200",0,90,4,NA,NA
"tt9079556",0,NA,0,NA,NA
"tt3547306",243379,123,36,67,1597968000
"tt8354752",0,99,7,39,1597708800
"tt6924650",17897419,138,186,47,1573171200
"tt7434324",0,86,18,64,NA
"tt8058874",0,91,93,55,NA
"tt8785046",0,80,0,NA,NA
"tt10551444",0,NA,0,NA,NA
"tt5503686",33181361,110,275,79,1568332800
"tt5968394",3131525,109,105,54,1552608000
