"","youtubeContent.items.id.channelId.1.","prod_name.prod_name.i.","viewCount","subscriberCount","hiddenSubscriberCount","videoCount"
"63","UCTqxhLx9x4_nsYXj6rrQ8rA","The Avenue Entertainment",805269,3430,FALSE,116
"64","UCU4BHh9Dwfd7-I_xTZ5037Q","FilmRise ",98943637,456000,FALSE,1177
"65","UCU4SM3j_9TNWaSu8KdGV50g","Focus Features ",601406273,480000,FALSE,1108
"66","UCUoC4hn4QbU55ZdxzOsKJ_A","Dread",372277433,1360000,FALSE,1798
"67","UCuPivVjnfNo4mb3Oog_frZg","A24 ",662085461,661000,FALSE,552
"68","UCvC4D8onUfXzvjTOM-dBfEA","Marvel Studios ",4474605891,18000000,FALSE,7692
"69","UCvE8nyjdQG0_rgx9u3oqadw","Well Go USA Entertainment",172847019,249000,FALSE,704
"70","UCvKzl8iQnlSAjM9i4S0LS9A"," IAC Films",47,2,FALSE,6
"71","UCVpvnXNL2AzBcu6GZX0oDtw","Affirm Films",23643382,32000,FALSE,181
"72","UCWlg4HEhGy8t3QNqdj0O_SA","Indican Pictures",14692708,5090,FALSE,720
"73","UCwNIswYZihchq9vTwQdiFyw"," JTJ Films",17,10,FALSE,1
"74","UCWOA1ZGywLbqmigxE4Qlvuw","Netflix",4974055173,22800000,FALSE,5190
"75","UCx-KWLTKlB83hDI6UKECtJQ","HBO Max ",504171132,1240000,FALSE,963
"76","UCx6YxBCmq2-wHBN4LmFLw0g","Redbox Entertainment",1253808179,2110000,FALSE,63
"77","UCXrZ0ljCjQQ9GL6OC0fwQ5A","Epic Pictures Group",68996904,99000,FALSE,235
"78","UCY0vSwi_U-ixmy6nrErmx7A","Level 33 Entertainment",1105643,756,FALSE,114
"79","UCyouSlyNTfwX_pnGvlfIL3Q","Amazon Studios",187252692,98500,FALSE,412
"80","UCz97F7dMxBNOfGYu3rx8aCw"," Sony Pictures ",3960671147,6180000,FALSE,4002
"81",NA," Clerkenwell Films",NA,NA,NA,NA
